City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,remire-montjoly,4.9167,-52.2667,27.02,89,0,2.57,GF,1719747291
122,kananga,-5.8958,22.4178,35.94,18,65,1.94,CD,1719747293
123,tazovsky,67.4667,78.7,11.61,47,41,2.86,RU,1719747295
124,calbuco,-41.768,-73.1273,6.56,91,100,7.72,CL,1719747297
125,san rafael del yuma,18.4299,-68.6739,26.76,83,52,2.42,DO,1719747299
126,vila franca do campo,37.7167,-25.4333,21.23,70,61,3.92,PT,1719747301
127,enewetak,11.3474,162.3373,28.22,80,58,6.51,MH,1719747303
128,lianzhou,24.7811,112.3825,25.94,96,100,1.29,CN,1719747305
129,mossel bay,-34.1831,22.146,17.96,74,81,2.42,ZA,1719747307
130,kodiak,57.79,-152.4072,8.73,100,100,4.12,US,1719747228
131,bikin,46.8161,134.26,14.32,99,100,2.3,RU,1719747311
132,t'aebaek,37.1759,128.9889,18.34,97,62,1.98,KR,1719747314
133,polyarnyy,69.1989,33.4478,12.24,89,98,4.37,RU,1719747316
134,keflavik,64.0049,-22.5624,13.95,93,100,13.89,IS,1719747318
135,blackwater,-23.5833,148.8833,18.83,77,22,3.03,AU,1719747321
136,bethel,41.3712,-73.414,24.81,88,100,1.79,US,1719747323
137,akwanga,8.9167,8.3833,30.21,56,28,2.7,NG,1719747324
138,cam ranh,11.9214,109.1591,28.98,65,20,4.63,VN,1719747326
139,isafjordur,66.0755,-23.124,17.02,59,75,3.6,IS,1719747328
140,carutapera,-1.195,-46.02,28.42,75,28,3.6,BR,1719747330
141,saldanha,-33.0117,17.9442,16.03,77,51,5.17,ZA,1719747332
142,akita,39.7167,140.1167,23.52,94,75,5.66,JP,1719747334
143,ozark,37.0209,-93.206,22.67,97,96,5.3,US,1719747336
144,cacapava do sul,-30.5122,-53.4914,3.02,71,2,1.07,BR,1719747338
145,hasaki,35.7333,140.8333,26.27,90,100,10.91,JP,1719747341
146,brezina,33.0989,1.2608,40.95,7,0,5.21,DZ,1719747343
147,geraldton,-28.7667,114.6,13.23,88,0,5.66,AU,1719747345
148,winterset,41.3308,-94.0138,14.68,95,4,2.51,US,1719747347
149,ribeira grande,38.5167,-28.7,23.22,64,20,6.69,PT,1719747349
150,uturoa,-16.7333,-151.4333,26.42,74,49,11.02,PF,1719747351
151,semur-en-auxois,47.4833,4.3333,13.6,95,100,2.69,FR,1719747354
152,dabat,12.9842,37.765,19.68,55,38,3.73,ET,1719747356
153,yoloten,37.2989,62.3597,37.71,15,1,6.5,TM,1719747358
154,wagar,16.1525,36.2032,39.9,20,0,6.67,SD,1719747362
155,jinghong,21.991,100.7341,24.5,95,96,1.42,CN,1719747363
156,jamestown,42.097,-79.2353,21.96,100,40,3.6,US,1719747134
157,vizinga,61.0749,50.1031,28.93,35,0,4.72,RU,1719747368
158,riberalta,-10.9833,-66.1,18.11,82,100,3.09,BO,1719747370
159,mvurwi,-17.0333,30.85,19.38,33,80,1.03,ZW,1719747372
160,yumaguzino,52.9041,56.3933,17.4,68,79,7.15,RU,1719747375
161,labuan,5.2767,115.2417,26.2,94,40,0.0,MY,1719747376
162,kapa'a,22.0752,-159.319,24.5,83,100,7.2,US,1719747380
163,adler,43.43,39.92,28.09,51,20,4.0,RU,1719747382
164,nagqu,31.5,92.0,14.41,33,76,6.81,CN,1719747384
165,amga,60.8953,131.9608,16.34,63,77,0.86,RU,1719747385
166,tolanaro,-25.0319,46.9987,25.04,57,20,9.26,MG,1719747387
167,masterton,-40.9597,175.6575,11.6,90,82,1.44,NZ,1719747392
168,ribeira brava,32.65,-17.0667,23.89,79,0,4.06,PT,1719747394
169,bubaque,11.2833,-15.8333,27.25,82,86,4.67,GW,1719747396
170,massakory,12.996,15.7293,37.82,30,93,3.3,TD,1719747399
171,alaghsas,17.0187,8.0168,37.94,27,0,4.63,NE,1719747403
172,nadi,-17.8,177.4167,23.0,73,20,4.12,FJ,1719747406
173,fortuna,40.5982,-124.1573,13.29,97,100,0.0,US,1719747408
174,harper,4.375,-7.7169,27.17,74,100,4.74,LR,1719747410
175,businga,3.3333,20.8833,36.48,30,69,0.74,CD,1719747412
176,guane,22.2025,-84.0875,25.82,91,100,2.93,CU,1719747414
177,champa,22.05,82.65,29.7,68,94,4.12,IN,1719747417
178,nguigmi,14.2495,13.1092,37.4,30,78,4.76,NE,1719747419
179,cole harbour,44.6724,-63.4751,15.66,94,100,1.79,CA,1719747178
180,byron bay,-28.65,153.6167,19.84,85,48,3.58,AU,1719747423
181,turpan,42.9333,89.1667,43.82,9,100,1.71,CN,1719747426
182,colon,9.3592,-79.9014,26.19,88,15,1.79,PA,1719747428
183,vilyuchinsk,52.9306,158.4028,17.15,80,100,0.44,RU,1719747430
184,bor,56.3567,44.0669,28.96,44,4,3.04,RU,1719747434
185,pandan,14.0453,124.1694,27.47,86,69,2.54,PH,1719747439
186,fale old settlement,-9.3852,-171.2468,28.91,75,36,9.6,TK,1719747441
187,chernyshevskiy,63.0128,112.4714,22.66,57,18,2.01,RU,1719747442
188,bel ombre,-4.6167,55.4167,28.91,79,40,6.17,SC,1719747445
189,bonthe,7.5264,-12.505,28.76,70,94,3.46,SL,1719747447
190,carnarvon,-24.8667,113.6333,19.51,52,0,6.65,AU,1719747450
191,shalqar,47.8333,59.6,15.89,54,99,8.17,KZ,1719747452
192,argo,37.6333,22.7333,30.99,22,0,8.69,GR,1719747456
193,walvis bay,-22.9575,14.5053,15.61,72,11,3.09,NA,1719747459
194,al kharj,24.155,47.3346,44.32,5,20,4.37,SA,1719747462
